Run	Experiment	Platform	LibraryName	LibraryLayout	Sample	ScientificName	SampleName
SRR488372	SRX173138	ILLUMINA	GSM980234: ML-DmBG3-c2 V130/BS180 (Celniker/RNA:123) rep2 extraction2_seq1 aliquote 1	SINGLE	SRS353027	Drosophila melanogaster	GSM980234
SRR488371	SRX173121	ILLUMINA	GSM980233: ML-DmBG1-c1 V129/BS177 (Celniker/RNA:117) rep2 extraction2_seq1 aliquote 1	SINGLE	SRS353010	Drosophila melanogaster	GSM980233
SRR488369	SRX147725	ILLUMINA	GSM930140: Celniker/RNA:11 extraction1_seq1 aliquote 1	SINGLE	SRS333692	Drosophila melanogaster	GSM930140
SRR546566	SRX176121	ILLUMINA	GSM609249: Lai ML-DmD21 (Celniker/RNA:49, Replicate 1) extraction1_seq1 aliquote 1	SINGLE	SRS355597	Drosophila melanogaster	GSM609249
SRR488698	SRX173210	ILLUMINA	GSM980238: 1182-4H V147/BS22 (Celniker/RNA:37) rep2 extraction2_seq1 aliquote 1	SINGLE	SRS353099	Drosophila melanogaster	GSM980238
SRR488370	SRX172964	ILLUMINA	GSM980232: Sg4 V133/BS34 (Celniker/RNA:199) rep1 extraction1_seq1 aliquote 1	SINGLE	SRS353002	Drosophila melanogaster	GSM980232
SRR488694	SRX173135	ILLUMINA	GSM980236: ML-DmD9 V125/BS101 (Celniker/RNA:71) rep1 extraction1_seq1 aliquote 1	SINGLE	SRS353025	Drosophila melanogaster	GSM980236
SRR488696	SRX173141	ILLUMINA	GSM980237: ML-DmD32 V022/V132/BS25 (Celniker/RNA:163) rep1 extraction1_seq1 aliquote 1	SINGLE	SRS353030	Drosophila melanogaster	GSM980237
SRR488697	SRX173141	ILLUMINA	GSM980237: ML-DmD32 V022/V132/BS25 (Celniker/RNA:163) rep1 extraction1_seq1 aliquote 1	SINGLE	SRS353030	Drosophila melanogaster	GSM980237
SRR488693	SRX173137	ILLUMINA	GSM980235: S2-DRSC V145/BS10 (Celniker/RNA:13) rep1 extraction1_seq1 aliquote 1	SINGLE	SRS353026	Drosophila melanogaster	GSM980235
SRR525054	SRX160905	ILLUMINA	GSM915693: S3 V128 (Replicate 2) extraction2_seq1 aliquote 1	SINGLE	SRS351382	Drosophila melanogaster	GSM915693
